date,px_last,px_high,px_low,px_close_1d,volume,aja
2023-06-02,7202.91015625,7202.91015625,7202.91015625,7202.91015625,3408,5733.7724609375
2023-06-05,7100,7200,7095,7200,11248,5731.4560546875
2023-06-06,7200,7200,7200,7200,10788,5731.4560546875
2023-06-07,7360,7360,7360,7360,7190,5858.82177734375
2023-06-08,7360,7360,7360,7360,3453,5858.82177734375
2023-06-09,,,,,,
2023-06-12,,,,,,
2023-06-13,7300,7300,7300,7300,18789,5811.0595703125
2023-06-14,7295.16015625,7295.16015625,7295.16015625,7295.16015625,3692,5807.20654296875
2023-06-15,7300,7350,7300,7350,11156,5850.861328125
2023-06-16,7125,7125,7125,7125,6389,5671.75341796875
2023-06-19,7125,7125,7125,7125,0,5671.75341796875
2023-06-20,7200,7200,7200,7200,3874,5731.4560546875
2023-06-21,7330.6298828125,7330.6298828125,7330.6298828125,7330.6298828125,2012,5835.4423828125
2023-06-22,7311.08984375,7311.08984375,7311.08984375,7311.08984375,2814,5819.88720703125
2023-06-23,7274.22021484375,7274.22021484375,7274.22021484375,7274.22021484375,2191,5790.5380859375
2023-06-26,7250,7250,7000,7000,7109,5572.2490234375
2023-06-27,7214.77978515625,7214.77978515625,7214.77978515625,7214.77978515625,4109,5743.22119140625
2023-06-28,7030,7030,7000,7000,10103,5572.2490234375
2023-06-29,7177.93017578125,7177.93017578125,7177.93017578125,7177.93017578125,1261,5713.8876953125
2023-06-30,7287.02001953125,7287.02001953125,7287.02001953125,7287.02001953125,2402,5800.72705078125
2023-07-03,7287.02001953125,7287.02001953125,7287.02001953125,7287.02001953125,0,5800.72705078125
2023-07-04,7217.31982421875,7217.31982421875,7217.31982421875,7217.31982421875,1505,5745.2431640625
2023-07-05,7000,7000,7000,7000,5346,5572.2490234375
2023-07-06,7010,7010,7010,7010,3705,5580.20947265625
2023-07-07,7265,7265,7265,7265,3957,5783.19873046875
2023-07-10,7120,7120,7120,7120,2667,5667.7734375
2023-07-11,7120,7120,7120,7120,824,5667.7734375
2023-07-12,7300,7300,7300,7300,4061,5811.0595703125
2023-07-13,7300,7300,7300,7300,3666,5811.0595703125
2023-07-14,7211.31005859375,7211.31005859375,7211.31005859375,7211.31005859375,3316,5740.45947265625
2023-07-17,7300,7300,7300,7300,847,5811.0595703125
2023-07-18,7200,7200,7200,7200,14983,5731.4560546875
2023-07-19,7365,7365,7365,7365,3312,5862.8017578125
2023-07-20,7365,7365,7365,7365,0,5862.8017578125
2023-07-21,7200,7300,7200,7300,6416,5811.0595703125
2023-07-24,7225,7225,7225,7225,3388,5751.35693359375
2023-07-25,7375,7375,7375,7375,4986,5870.76220703125
2023-07-26,7130,7130,7130,7130,7574,5675.7333984375
2023-07-27,7135,7135,7135,7135,4148,5679.7138671875
2023-07-28,7315,7315,7315,7315,4259,5823
2023-07-31,7315,7315,7315,7315,0,5823
2023-08-01,7315,7315,7315,7315,3959,5823
2023-08-02,7250,7250,7250,7255.1201171875,3785,5775.33349609375
2023-08-03,7200,7210,7200,7210,5381,5739.416015625
2023-08-04,7210,7210,7210,7210,0,5739.416015625
2023-08-07,7210,7210,7210,7210,0,5739.416015625
